from_id;to_id;walk_t;walk_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d
5945703;5859425;285;19936;131;112;32731;128;115;33637;38;23587;35;23587
5945704;5859425;281;19656;135;122;25807;135;124;33210;37;23164;33;23164
5945705;5859425;278;19467;129;115;26238;129;111;34302;48;23641;44;23641
5945706;5859425;277;19402;117;87;23685;122;105;33881;44;23396;40;23396
5945707;5859425;274;19166;110;83;23448;119;102;33644;39;23303;35;23303
5945708;5859425;269;18799;110;83;23428;119;103;33731;38;23397;34;23397
5945709;5859425;266;18638;101;78;23068;112;97;33522;38;22995;34;22995
5945710;5859425;264;18507;101;80;22904;109;96;28306;39;23287;35;23287
5945711;5859425;262;18374;101;78;22414;108;92;28048;38;23031;34;23031
5945712;5859425;267;18718;102;79;22481;109;96;28302;38;23062;34;23062
5945713;5859425;261;18253;98;78;21889;107;87;27709;40;23288;36;23288
5945714;5859425;261;18253;96;71;21917;107;87;27710;39;23588;34;23588
5945715;5859425;258;18085;94;72;21692;107;88;27759;41;21804;36;21620
5945716;5859425;259;18111;97;75;21942;108;92;28030;42;26712;38;25027
5945717;5859425;255;17878;97;79;22200;106;92;32226;42;26104;38;24419
5945718;5859425;254;17790;97;76;23344;104;91;32166;42;25911;38;24226
5945719;5859425;252;17656;94;80;23608;99;83;26134;39;25478;35;23793
5945720;5859425;250;17513;94;81;26176;98;84;26176;38;25257;34;23572
5945721;5859425;249;17405;98;85;26485;105;88;26485;38;25163;34;23478
5945722;5859425;244;17054;97;84;25417;105;87;25417;38;25175;34;23489
5945723;5859425;240;16774;94;80;25136;100;83;25136;38;25416;34;23731
5945724;5859425;239;16709;94;80;25090;100;83;25090;38;24760;33;24760
5945725;5859425;236;16504;94;79;25063;100;82;25063;39;24841;34;24841
5945726;5859425;234;16386;99;83;25300;106;86;25300;41;25477;37;25477
5945727;5859425;231;16197;103;86;25511;106;89;25511;39;25272;34;25272
5945728;5859425;230;16126;113;97;25955;107;95;25955;40;24546;35;24419
5945729;5859425;227;15907;113;98;24404;109;96;24404;40;24538;35;24412
